cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_dex
1085.71875,2.534894705,27269.29688,1067.8125,0.348024011
1086.296875,2.550444126,27407.10938,1067.140625,0.397646993
1085.140625,2.555619001,29618.20313,1068.585938,0.540089965
1091.6875,2.549335957,27260.15625,1072.03125,0.611796021
1088.890625,2.550311089,29302.5,1073.296875,0.560985446
1086.375,2.530286074,26833.82813,1070.65625,0.517343998
1086.296875,2.520573854,26726.95313,1067.421875,0.525095999
1091.859375,2.535763025,27689.53125,1074.453125,0.497556001
1086.828125,2.552165031,27429.375,1070.484375,0.471341997
1089.9375,2.586630821,28590.23438,1070.109375,0.448442996
1089.21875,2.562880516,27517.96875,1069.4375,0.362686515
1088.234375,2.534383297,27046.17188,1070.03125,0.365874022
1084.15625,2.576970816,27682.73438,1068.9375,0.491359502
1089.671875,2.572158813,28101.79688,1071.921875,0.413406014
1084.4375,2.554879904,27501.32813,1066.125,0.475217998
1087.421875,2.544949532,27472.96875,1069.03125,0.378215998
1088.640625,2.570453167,29048.4375,1073.390625,0.592721999
1088.296875,2.56835556,27547.03125,1071.421875,0.366384
1087.34375,2.551426888,27373.59375,1069.84375,0.483429015
1087.5,2.540041447,26678.90625,1067.78125,0.575280011
1088.703125,2.548811197,27037.73438,1068.65625,0.406367987
1088.28125,2.558713198,28543.125,1068.5,0.583541989
1089.46875,2.575732946,27694.6875,1074,0.486157507
1090.15625,2.566249132,27577.96875,1072.546875,0.567018032
1087.28125,2.565441847,27032.34375,1065.671875,0.429317981
1090.96875,2.568859339,28642.96875,1069.40625,0.554166019
1089.46875,2.573761463,27388.125,1073.65625,0.536723971
1084.125,2.579865932,27322.96875,1064.25,0.470627993
1089.625,2.583203077,27803.4375,1072.59375,0.417996019
1089.4375,2.55728817,28393.35938,1070.5625,0.445536017
1092.1875,2.542380333,27690,1067.90625,0.530196011
1089.796875,2.548907042,27472.26563,1066.703125,0.507041991
1087.8125,2.553716421,27891.79688,1062.578125,0.411952496
1091.875,2.553549051,27237.1875,1069.046875,0.449360996
