cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_ndex
1089.56,2.58881,27996.6,1068.39,0.53426
1088.77,2.55566,28200.3,1067.09,0.536326
1088.28,2.53042,28041,1069.02,0.590573
1088.73,2.52773,28066.9,1070.05,0.576434
1088.58,2.52692,28061.4,1069.87,0.593347
1087.95,2.53325,28505.9,1068.75,0.606991
1087.98,2.54819,28274,1069.79,0.638638
1087.63,2.53678,28549.7,1069.42,0.613445
1088.41,2.53983,27934.7,1070.31,0.594695
1087.37,2.54741,27987.2,1068.54,0.573173
1088.11,2.55009,28084.8,1069.37,0.590388
1088.47,2.55139,27455.9,1070.89,0.567156
1088.45,2.55324,27435.8,1071.33,0.576886
1088.23,2.54155,27185.7,1070.51,0.569129
1087.81,2.53076,27038.8,1070.62,0.608346
1087.41,2.54062,27134.4,1070.98,0.615888
1087.7,2.54153,27142,1070.43,0.591274
1089.29,2.57383,27494.4,1071.23,0.587731
1090.44,2.59162,27594.1,1069.36,0.576963
1088.22,2.5518,27415.4,1067.07,0.531356
1087.4,2.54286,27518.8,1068.48,0.566577
1088.3,2.5397,27455.3,1068.94,0.571103
1088.6,2.53679,27816.6,1069.15,0.60841
1090.03,2.58208,27810,1070.28,0.603852
1088.48,2.59107,28165.7,1066.62,0.56857
1087.02,2.55755,28829.3,1065.93,0.546767
1087.48,2.53649,29228.7,1068.08,0.57381
1087.27,2.53261,29025.1,1068.25,0.56184
1086.7,2.53411,29324.2,1068.24,0.624784
1086.88,2.53816,29147.5,1067.34,0.637092
1086.57,2.53919,29249.1,1067.97,0.611248
1086.58,2.5445,28682.8,1067.64,0.610086
1086.46,2.55005,28602.1,1069.74,0.62996
1086.97,2.54112,28377,1070.62,0.602656
1086.38,2.53693,28639.5,1069.61,0.598272
1086.69,2.53735,27427.1,1069.95,0.60209
1087.43,2.53694,27145.2,1070.21,0.612194
1088.65,2.53943,27033.3,1069.44,0.595975
1088.63,2.54157,27006.1,1071.87,0.5987
1087.19,2.53836,27010.1,1068.48,0.583805
1088.03,2.53627,27108.8,1069.97,0.623552
1088.65,2.58216,27429.4,1069.6,0.626167
1088.04,2.59068,27403.1,1068.8,0.588746
1087.96,2.54546,27100,1067.86,0.541817
1087.94,2.5311,28005.4,1068.23,0.599788
1087.85,2.52681,28192.8,1068.2,0.595173
1086.63,2.5257,28239.8,1067.87,0.644355
1086.97,2.55338,28140.6,1068.38,0.61098
1087.61,2.56248,29137.1,1069.16,0.608028
1086.33,2.56434,28877.4,1068.76,0.592415
1087.58,2.55615,27778.8,1069.35,0.585087
1087.6,2.54015,27293.2,1070.33,0.654654
1087.95,2.56342,27201.3,1070.93,0.639516
1087.69,2.57051,27365.3,1070.1,0.614437
1087.83,2.56279,27225.9,1068.88,0.556548
1086.33,2.52718,27011.1,1069.06,0.597766
1087.52,2.53751,27155.5,1069.66,0.647189
1087.7,2.5742,27432.4,1069.93,0.636423
1088.6,2.59008,27634.1,1071.08,0.630333
1089.37,2.57503,27735.4,1069.41,0.549856
1087.44,2.54376,27344.2,1068.51,0.583502
1087.43,2.53665,27372.3,1067.71,0.622986
1089.34,2.52867,27603.9,1068.7,0.614851
1089.42,2.57686,27722.2,1068.46,0.627035
1088.88,2.57935,28042,1067.91,0.573394
1087.96,2.54848,28499,1067.33,0.584059
1088.67,2.54835,29249.5,1068.61,0.572474
1088.21,2.54691,28610.8,1068.74,0.606553
1086.79,2.54701,28496.6,1067.94,0.602337
1087.9,2.54715,29345.9,1069.02,0.599527
1087.95,2.54558,29110.4,1068.48,0.618295
1088.09,2.54582,28485.6,1068.74,0.592894
1087.32,2.55236,28718.1,1068.22,0.608578
1087.56,2.5552,28395.7,1068.72,0.587257
1087.84,2.55307,27715,1068.47,0.626015
1088.27,2.54934,27544.9,1069.36,0.592631
1086.73,2.54697,27367.9,1069.45,0.683694
1086.04,2.5442,27374.1,1069.59,0.634647
1088.08,2.545,27478.9,1071.14,0.637022
1086.89,2.54392,27351.8,1068.89,0.621043
1088.29,2.58462,27946.7,1070.16,0.582266
1089.11,2.59778,27835.1,1069.03,0.542709
1088.99,2.54247,27427.2,1068.48,0.565389
1086.91,2.52314,27354.4,1069.06,0.569633
1085.48,2.5156,27509.3,1068.01,0.596858
1087.93,2.5408,27828.2,1070.78,0.63985
1088.88,2.57568,28319.4,1071.43,0.602
1087.86,2.58178,28273.3,1067.55,0.560251
1087.78,2.56351,28943.9,1066.83,0.544442
1087.28,2.55771,29721.7,1066.63,0.560354
1088.54,2.54958,29298.5,1070.71,0.58995
1087.76,2.54497,29252.1,1068.77,0.605942
1086.43,2.54218,29260.8,1066.76,0.590071
1087.87,2.54462,29175.9,1068.12,0.585229
1088.15,2.54437,29149,1068.79,0.584494
1088.32,2.55292,29121.6,1068.46,0.59692
1086.96,2.55022,29005.2,1067.67,0.618873
1088.16,2.54907,29136.1,1068.27,0.626211
1088.52,2.54873,28199.5,1069.59,0.600451
1087.52,2.54573,28136.7,1070,0.611469
1087.32,2.5457,27553.6,1069.79,0.620688
1087.41,2.54492,27773.3,1069.91,0.614365
1087.13,2.52607,27667.8,1069.54,0.627386
1086.66,2.51725,27468.9,1069.55,0.629804
1087.08,2.56918,27779.2,1069.96,0.642527
1088.13,2.59238,28083.9,1068.61,0.547577
1087.02,2.53944,27631.9,1067.03,0.562224
1086.47,2.51558,27478,1068.98,0.59307
1086.12,2.51191,27393.2,1068.97,0.584854
1087.75,2.53271,27497.3,1070.77,0.63061
1088.92,2.56833,27975.5,1071.2,0.632889
1087.5,2.57756,28389.7,1067.43,0.584245
1088.79,2.57152,29215.8,1067.66,0.569004
1086.93,2.54746,29301,1066.62,0.553062
1087.17,2.54975,29010.6,1068.05,0.591805
1087.49,2.54222,29378.9,1068.13,0.598912
1086.49,2.54115,29747,1067.41,0.592892
1087.17,2.54225,29312.3,1067.84,0.583278
1087.72,2.54358,29311,1068.01,0.608478
1087.69,2.55298,28701.4,1068.68,0.576894
1086.92,2.55602,28551.6,1067.91,0.577908
1088.48,2.55935,29179.5,1068.95,0.599117
1088.58,2.556,27938,1069.23,0.588877
1087.74,2.5538,27878.5,1068.19,0.612297
1088.99,2.55378,27822.9,1069.43,0.611311
1087.16,2.5487,27839,1067.87,0.595213
1088.22,2.52435,27801.5,1070.26,0.633118
1088.11,2.53815,28195.2,1069.85,0.633432
1089.9,2.5817,28292.5,1070.81,0.628117
1090.31,2.60168,28547.6,1070.35,0.607181
1088.09,2.54562,27953.2,1066.79,0.558896
1087.65,2.53218,28466.8,1068.28,0.593099
1087.32,2.54557,28051.8,1068.17,0.603791
1089.78,2.54785,27743.7,1069.31,0.609898
1090.89,2.58817,28754.6,1070.21,0.58071
1088.46,2.59397,28630.3,1066.4,0.571522
