CW PUMP 1A WATT METER,CW PUMP 1A DISCH PRESS,RETURN CW FLOW,CW PUMP 1B WATT METER,CWP-1A MOTOR NDE-BRG VIB Y-AXIS
1086.94,2.53499,27145.9,1066.25,0.50605
1085.85,2.52235,27187.9,1068.19,0.560977
1087.64,2.52387,27148.2,1070.44,0.580395
1088.29,2.57667,27473.7,1069.87,0.519642
1087.8,2.58526,27478.1,1067.11,0.495229
1088.72,2.55658,27364.1,1067.25,0.497387
1087.13,2.51533,27404.1,1067.27,0.533982
1086.72,2.53283,27586.6,1067.23,0.557096
1085.89,2.54496,27669.9,1067.14,0.561329
1087.69,2.55089,28426.6,1067.14,0.511484
1087.92,2.5517,28586.7,1067.31,0.514399
1088.31,2.56296,28967.7,1067.2,0.528529
1087.62,2.53895,28695.7,1066.78,0.545708
1086.55,2.53481,28327.5,1066.72,0.549998
1088.31,2.54508,27361.1,1066.46,0.565653
1088.12,2.55483,27228.9,1066.67,0.541138
1088.06,2.55486,27183.4,1070.36,0.534094
1087.39,2.52537,27083,1071.21,0.54183
1088.64,2.57234,27486.4,1069.62,0.542782
1089.39,2.58418,27645,1068.3,0.543807
1088.19,2.55642,27537.5,1066.76,0.506444
1088.44,2.53192,27405.1,1067.23,0.519701
1087.03,2.5236,27226,1066.23,0.553559
1089.5,2.53643,27372.2,1068.31,0.524784
1088.92,2.57601,27299.5,1067.02,0.523736
1089.15,2.58615,27690.9,1067.25,0.511077
1089.53,2.56727,28284.5,1067.19,0.500613
1088.72,2.55135,27840,1068.41,0.515386
1088.15,2.54281,29151.5,1069.77,0.539449
1086.89,2.54705,29869.2,1068.93,0.546823
1086.95,2.55096,28797,1067.54,0.552467
1088.25,2.55177,28952.2,1067.93,0.576077
1087.93,2.55316,28977.9,1067.95,0.569615
1089.21,2.56674,28708.5,1069.3,0.536442
1088.9,2.57101,28683.6,1068.91,0.51955
1088.94,2.57025,28496.8,1068.25,0.559299
1089.9,2.57224,27775.4,1068.65,0.531423
1089.43,2.57231,27446.9,1067.8,0.506687
1089.6,2.564,27380.1,1067.35,0.519459
1088.75,2.53948,27384.9,1067.5,0.558413
1089.93,2.53731,27049.5,1067.71,0.548848
1089.79,2.54179,27488,1069.25,0.553348
1091.59,2.57598,27250,1070.01,0.529433
1091.06,2.59096,27363.2,1068.65,0.53486
1089.75,2.54512,29824.5,1069.67,0.52645
1088.75,2.52906,28444.9,1069.1,0.567838
1091.32,2.52404,27942,1068.7,0.56509
1088.9,2.54861,28488,1066.96,0.511821
1089.57,2.54148,30000,1069.1,0.535873
1090.17,2.53493,28932.1,1070.82,0.590597
1088.93,2.55087,28910,1070.85,0.583025
1087.96,2.54957,28966.3,1070.23,0.53829
1088.09,2.54214,27892.5,1070.46,0.553112
1089.05,2.55199,28513.4,1071.17,0.547985
1088.27,2.55344,28921.5,1070.36,0.542392
1089.02,2.55444,27839,1067.83,0.526279
1088.74,2.55314,27825,1067.49,0.539892
1088.07,2.52215,27729.2,1067.87,0.530014
1089.3,2.52819,27742.2,1069.59,0.580423
1089.31,2.57159,28169.5,1069.92,0.573156
1089.72,2.57838,28007.3,1068.37,0.560034
1091.22,2.56591,27701.9,1068.71,0.533907
1089.2,2.53055,27107.7,1068.4,0.546464
1088.3,2.51988,27335,1068.6,0.55967
1089.57,2.53159,27150.6,1069.81,0.563797
1089.89,2.57247,27993.7,1068.83,0.557469
1089.37,2.58088,28050.4,1067.63,0.548749
1089.62,2.56348,28772.4,1067.18,0.529337
1087.92,2.53747,28071.3,1066.42,0.503358
1089.27,2.53951,28725.6,1068,0.512703
1088.66,2.53569,28348.6,1067.62,0.521288
1088.19,2.5333,28739.6,1067.92,0.51962
1087.94,2.52863,28509.1,1068.34,0.543828
1089.23,2.53449,28089.3,1069.33,0.553425
1089.85,2.53541,28556.3,1069.95,0.598134
1088.26,2.52886,28133.1,1068.48,0.577169
1089.86,2.53856,28507,1070.58,0.559851
1089.87,2.54044,27457.3,1070.33,0.573692
1089.7,2.54022,27058.8,1070.01,0.567479
1088.87,2.54083,27053.9,1069.42,0.550342
1089.4,2.54259,27712.1,1069.74,0.531712
1089.82,2.52566,28023.9,1070.36,0.573894
1088.9,2.51937,27296.6,1069.76,0.570871
1090.58,2.56517,28278.1,1070.86,0.568218
1090.85,2.58541,28359.9,1070.13,0.524369
1088.9,2.54668,28648.3,1067.27,0.495184
1088.49,2.52324,27166.1,1068.61,0.525879
1087.67,2.51697,27596.6,1068.61,0.534962
1088.43,2.51421,27153.8,1069.87,0.551235
1089.82,2.57308,27751,1070.08,0.556589
1089.56,2.58881,27996.6,1068.39,0.527632
1088.77,2.55566,28200.3,1067.09,0.502587
1088.28,2.53042,28041,1069.02,0.54388
1088.73,2.52773,28066.9,1070.05,0.570763
1088.58,2.52692,28061.4,1069.87,0.557056
1087.95,2.53325,28505.9,1068.75,0.561318
1087.98,2.54819,28274,1069.79,0.550214
1087.63,2.53678,28549.7,1069.42,0.557754
1088.41,2.53983,27934.7,1070.31,0.561956
1087.37,2.54741,27987.2,1068.54,0.548423
1088.11,2.55009,28084.8,1069.37,0.581014
1088.47,2.55139,27455.9,1070.89,0.539098
1088.45,2.55324,27435.8,1071.33,0.540902
1088.23,2.54155,27185.7,1070.51,0.522002
1087.81,2.53076,27038.8,1070.62,0.61413
1087.41,2.54062,27134.4,1070.98,0.591224
1087.7,2.54153,27142,1070.43,0.573955
1089.29,2.57383,27494.4,1071.23,0.525949
1090.44,2.59162,27594.1,1069.36,0.519434
1088.22,2.5518,27415.4,1067.07,0.505144
1087.4,2.54286,27518.8,1068.48,0.50281
1088.3,2.5397,27455.3,1068.94,0.514088
1088.6,2.53679,27816.6,1069.15,0.540524
1090.03,2.58208,27810,1070.28,0.547506
1088.48,2.59107,28165.7,1066.62,0.521233
1087.02,2.55755,28829.3,1065.93,0.49997
1087.48,2.53649,29228.7,1068.08,0.526784
1087.27,2.53261,29025.1,1068.25,0.561709
1086.7,2.53411,29324.2,1068.24,0.5903
1086.88,2.53816,29147.5,1067.34,0.597636
1086.57,2.53919,29249.1,1067.97,0.593923
1086.58,2.5445,28682.8,1067.64,0.59101
1086.46,2.55005,28602.1,1069.74,0.583561
1086.97,2.54112,28377,1070.62,0.547326
1086.38,2.53693,28639.5,1069.61,0.581606
1086.69,2.53735,27427.1,1069.95,0.569086
1087.43,2.53694,27145.2,1070.21,0.567703
1088.65,2.53943,27033.3,1069.44,0.566675
1088.63,2.54157,27006.1,1071.87,0.558576
1087.19,2.53836,27010.1,1068.48,0.530359
1088.03,2.53627,27108.8,1069.97,0.581757
1088.65,2.58216,27429.4,1069.6,0.602451
1088.04,2.59068,27403.1,1068.8,0.509254
1087.96,2.54546,27100,1067.86,0.517001
1087.94,2.5311,28005.4,1068.23,0.558768
1087.85,2.52681,28192.8,1068.2,0.596367
1086.63,2.5257,28239.8,1067.87,0.616343
1086.97,2.55338,28140.6,1068.38,0.606766
1087.61,2.56248,29137.1,1069.16,0.577913
1086.33,2.56434,28877.4,1068.76,0.560494
1087.58,2.55615,27778.8,1069.35,0.556404
1087.6,2.54015,27293.2,1070.33,0.577499
1087.95,2.56342,27201.3,1070.93,0.56564
1087.69,2.57051,27365.3,1070.1,0.55742
1087.83,2.56279,27225.9,1068.88,0.51999
1086.33,2.52718,27011.1,1069.06,0.523729
1087.52,2.53751,27155.5,1069.66,0.554901
1087.7,2.5742,27432.4,1069.93,0.564191
1088.6,2.59008,27634.1,1071.08,0.556958
1089.37,2.57503,27735.4,1069.41,0.511048
1087.44,2.54376,27344.2,1068.51,0.540307
1087.43,2.53665,27372.3,1067.71,0.572557
1089.34,2.52867,27603.9,1068.7,0.5792
1089.42,2.57686,27722.2,1068.46,0.592021
1088.88,2.57935,28042,1067.91,0.530491
1087.96,2.54848,28499,1067.33,0.518109
1088.67,2.54835,29249.5,1068.61,0.543957
1088.21,2.54691,28610.8,1068.74,0.581543
1086.79,2.54701,28496.6,1067.94,0.550565
1087.9,2.54715,29345.9,1069.02,0.562456
1087.95,2.54558,29110.4,1068.48,0.574196
1088.09,2.54582,28485.6,1068.74,0.548468
1087.32,2.55236,28718.1,1068.22,0.575089
1087.56,2.5552,28395.7,1068.72,0.556241
1087.84,2.55307,27715,1068.47,0.569418
1088.27,2.54934,27544.9,1069.36,0.547718
1086.73,2.54697,27367.9,1069.45,0.569385
1086.04,2.5442,27374.1,1069.59,0.609258
1088.08,2.545,27478.9,1071.14,0.595613
1086.89,2.54392,27351.8,1068.89,0.571164
1088.29,2.58462,27946.7,1070.16,0.549772
1089.11,2.59778,27835.1,1069.03,0.521122
1088.99,2.54247,27427.2,1068.48,0.543052
1086.91,2.52314,27354.4,1069.06,0.5502
1085.48,2.5156,27509.3,1068.01,0.562855
1087.93,2.5408,27828.2,1070.78,0.561122
1088.88,2.57568,28319.4,1071.43,0.558478
1087.86,2.58178,28273.3,1067.55,0.510673
1087.78,2.56351,28943.9,1066.83,0.530479
1087.28,2.55771,29721.7,1066.63,0.540205
1088.54,2.54958,29298.5,1070.71,0.547512
1087.76,2.54497,29252.1,1068.77,0.599302
1086.43,2.54218,29260.8,1066.76,0.569551
1087.87,2.54462,29175.9,1068.12,0.558168
1088.15,2.54437,29149,1068.79,0.549682
1088.32,2.55292,29121.6,1068.46,0.566493
1086.96,2.55022,29005.2,1067.67,0.577262
1088.16,2.54907,29136.1,1068.27,0.59305
1088.52,2.54873,28199.5,1069.59,0.584984
1087.52,2.54573,28136.7,1070,0.588724
1087.32,2.5457,27553.6,1069.79,0.604705
1087.41,2.54492,27773.3,1069.91,0.566414
1087.13,2.52607,27667.8,1069.54,0.580733
1086.66,2.51725,27468.9,1069.55,0.554883
1087.08,2.56918,27779.2,1069.96,0.578477
1088.13,2.59238,28083.9,1068.61,0.524016
1087.02,2.53944,27631.9,1067.03,0.533743
1086.47,2.51558,27478,1068.98,0.569604
1086.12,2.51191,27393.2,1068.97,0.574715
1087.75,2.53271,27497.3,1070.77,0.571192
1088.92,2.56833,27975.5,1071.2,0.574212
1087.5,2.57756,28389.7,1067.43,0.552667
1088.79,2.57152,29215.8,1067.66,0.55153
1086.93,2.54746,29301,1066.62,0.525253
1087.17,2.54975,29010.6,1068.05,0.539987
1087.49,2.54222,29378.9,1068.13,0.561273
1086.49,2.54115,29747,1067.41,0.544123
1087.17,2.54225,29312.3,1067.84,0.575213
1087.72,2.54358,29311,1068.01,0.587011
1087.69,2.55298,28701.4,1068.68,0.557393
1086.92,2.55602,28551.6,1067.91,0.550597
1088.48,2.55935,29179.5,1068.95,0.544187
1088.58,2.556,27938,1069.23,0.545555
1087.74,2.5538,27878.5,1068.19,0.547565
1088.99,2.55378,27822.9,1069.43,0.575423
1087.16,2.5487,27839,1067.87,0.561789
1088.22,2.52435,27801.5,1070.26,0.592773
1088.11,2.53815,28195.2,1069.85,0.563714
1089.9,2.5817,28292.5,1070.81,0.556484
1090.31,2.60168,28547.6,1070.35,0.556565
1088.09,2.54562,27953.2,1066.79,0.52705
1087.65,2.53218,28466.8,1068.28,0.554118
1087.32,2.54557,28051.8,1068.17,0.555504
1089.78,2.54785,27743.7,1069.31,0.564641
1090.89,2.58817,28754.6,1070.21,0.537508
1088.46,2.59397,28630.3,1066.4,0.527923
1089.31,2.5499,28970.3,1067.65,0.51362
1089.92,2.5925,29055.2,1068.55,0.527738
1089.98,2.57635,29071.2,1067.96,0.541522
1089.78,2.56192,27267.6,1067.53,0.51509
1087.7,2.54567,29032.8,1068.59,0.576745
1087.49,2.54765,29356.6,1070.15,0.556087
1088.48,2.55329,29544.6,1070.13,0.54145
1087.47,2.56592,29289.1,1068.68,0.5352
1088.46,2.56468,29407.7,1069.37,0.559752
1088.6,2.56144,28528.2,1069.13,0.511811
1088.5,2.54872,28380.5,1069.73,0.53891
1088.22,2.53241,28684.2,1068.53,0.56801
1088.73,2.54912,28376.2,1069.11,0.549733
1089.88,2.55269,28078.6,1069.94,0.577873
1088.8,2.55175,28532.5,1068.61,0.564865
1090.16,2.57793,28449.8,1070.25,0.571875
1089.45,2.59851,28743.5,1068.06,0.511769
1090.09,2.56699,28238.5,1067.64,0.515383
1089.13,2.54715,27742,1069.35,0.514087
1088.28,2.5325,27762.8,1068.47,0.545899
1089.81,2.53122,28864.3,1070.05,0.562699
1089.99,2.56131,28376.7,1070.32,0.554505
1088.66,2.58234,28396.5,1068.82,0.543872
1089.23,2.57693,28986.2,1067.05,0.524092
1088.69,2.54644,28472.9,1067.32,0.524948
1088.79,2.54763,30000,1068.85,0.523893
1088.41,2.54674,28375.7,1068.89,0.542037
1087.76,2.54316,28140.1,1068.17,0.542998
1089.15,2.54728,27595.7,1069.7,0.566723
1088.27,2.55988,29292.7,1069.79,0.54769
1088.06,2.55238,29240.9,1068.29,0.551337
1088.82,2.55224,29262.8,1069.62,0.545101
1089.2,2.55235,28515.5,1069.57,0.523995
1089.09,2.55117,29027.5,1069.62,0.54074
1089.06,2.5452,28354.5,1069.59,0.562327
1089.77,2.52956,28080.2,1069.79,0.575991
1089.93,2.54223,28693.1,1069.9,0.557179
1089.99,2.57704,28730,1069.47,0.589958
1090.33,2.59737,27272.4,1069.81,0.540139
1089.71,2.58075,28520.6,1067.48,0.521295
1088.96,2.55056,28662.9,1067.33,0.531247
1089.08,2.53762,28911.2,1069.92,0.522341
1089.17,2.52882,29392.6,1069.65,0.564942
1090.25,2.5816,28584.6,1070.49,0.581133
1089.57,2.55801,27435.5,1069.77,0.516844
1089.9,2.56576,28939.9,1069.69,0.554727
1087.28,2.56336,29136.2,1068.75,0.554934
1086.57,2.54422,29154,1068.31,0.543486
1088.13,2.56173,29483.6,1069.8,0.538969
1088.01,2.56351,29483.9,1069.46,0.525287
1088.71,2.55205,29366.9,1070.08,0.5727
1088.31,2.54726,28266.4,1069.81,0.58544
1088.16,2.54421,28287.7,1070.27,0.601071
1089.34,2.56849,28066.7,1069.62,0.552488
1089.33,2.55709,28300.4,1069.79,0.572276
1089.29,2.53773,28321.8,1070.04,0.594276
1088.26,2.5446,27928.9,1069.81,0.560713
1089.6,2.57641,28260.1,1069.96,0.565585
1090.48,2.59549,28936.7,1070.37,0.537085
1089.91,2.57139,28143.7,1067.72,0.501879
1089.19,2.54304,27347.5,1069.93,0.511208
1088.51,2.52869,28901.3,1068.03,0.545687
1089.9,2.53129,28407.7,1070.87,0.580539
1092.19,2.58313,28137.1,1072.56,0.566356
1088.93,2.58484,29792.8,1067.41,0.518836
1090.05,2.5598,29514.4,1068.14,0.52443
1087.72,2.56446,28853,1069.22,0.570054
1088.49,2.57524,28722.6,1069.91,0.535846
1088.01,2.5799,28355.1,1069.11,0.555616
1088.5,2.57328,28990.2,1069.78,0.53997
1089.57,2.56791,28675.6,1070.91,0.526701
1088.78,2.56425,28255.3,1070.37,0.541956
1088.24,2.55766,28499.9,1070.03,0.557737
1088.32,2.55121,28358.9,1070.51,0.547968
1089.32,2.54476,28830.6,1071.25,0.580715
1088.65,2.55289,28795.2,1070.62,0.533848
1088.99,2.58544,28502.1,1070.8,0.568051
1089.99,2.5967,28105.5,1070.77,0.532044
1088.77,2.55672,27954.9,1069.48,0.51574
1087.78,2.53874,28383.3,1069.87,0.559092
1087.35,2.5442,29465.9,1069.78,0.584165
