cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_dex
1090.44,2.59162,27594.1,1069.36,0.496357
1088.22,2.5518,27415.4,1067.07,0.473213
1087.4,2.54286,27518.8,1068.48,0.473321
1088.3,2.5397,27455.3,1068.94,0.490147
1088.6,2.53679,27816.6,1069.15,0.509283
1090.03,2.58208,27810,1070.28,0.510809
1088.48,2.59107,28165.7,1066.62,0.483321
1087.02,2.55755,28829.3,1065.93,0.467363
1087.48,2.53649,29228.7,1068.08,0.486333
1087.27,2.53261,29025.1,1068.25,0.53943
1086.7,2.53411,29324.2,1068.24,0.545827
1086.88,2.53816,29147.5,1067.34,0.548903
1086.57,2.53919,29249.1,1067.97,0.530081
1086.58,2.5445,28682.8,1067.64,0.541266
1086.46,2.55005,28602.1,1069.74,0.544794
1086.97,2.54112,28377,1070.62,0.500121
1086.38,2.53693,28639.5,1069.61,0.522119
1086.69,2.53735,27427.1,1069.95,0.518806
1087.43,2.53694,27145.2,1070.21,0.50444
1088.65,2.53943,27033.3,1069.44,0.50651
1088.63,2.54157,27006.1,1071.87,0.515306
1087.19,2.53836,27010.1,1068.48,0.494988
1088.03,2.53627,27108.8,1069.97,0.532082
1088.65,2.58216,27429.4,1069.6,0.539394
1088.04,2.59068,27403.1,1068.8,0.48082
1087.96,2.54546,27100,1067.86,0.498614
1087.94,2.5311,28005.4,1068.23,0.512448
1087.85,2.52681,28192.8,1068.2,0.549034
1086.63,2.5257,28239.8,1067.87,0.53757
1086.97,2.55338,28140.6,1068.38,0.553726
1087.61,2.56248,29137.1,1069.16,0.522228
1086.33,2.56434,28877.4,1068.76,0.500682
1087.58,2.55615,27778.8,1069.35,0.51459
1087.6,2.54015,27293.2,1070.33,0.507168
1087.95,2.56342,27201.3,1070.93,0.521017
1087.69,2.57051,27365.3,1070.1,0.509923
1087.83,2.56279,27225.9,1068.88,0.472301
1086.33,2.52718,27011.1,1069.06,0.492998
1087.52,2.53751,27155.5,1069.66,0.518068
1087.7,2.5742,27432.4,1069.93,0.542276
1088.6,2.59008,27634.1,1071.08,0.518984
1089.37,2.57503,27735.4,1069.41,0.470937
1087.44,2.54376,27344.2,1068.51,0.500968
1087.43,2.53665,27372.3,1067.71,0.519996
1089.34,2.52867,27603.9,1068.7,0.539261
1089.42,2.57686,27722.2,1068.46,0.543536
1088.88,2.57935,28042,1067.91,0.490825
1087.96,2.54848,28499,1067.33,0.510644
1088.67,2.54835,29249.5,1068.61,0.491933
1088.21,2.54691,28610.8,1068.74,0.527508
1086.79,2.54701,28496.6,1067.94,0.523273
1087.9,2.54715,29345.9,1069.02,0.50976
1087.95,2.54558,29110.4,1068.48,0.546565
1088.09,2.54582,28485.6,1068.74,0.525966
1087.32,2.55236,28718.1,1068.22,0.527369
1087.56,2.5552,28395.7,1068.72,0.534232
1087.84,2.55307,27715,1068.47,0.52499
1088.27,2.54934,27544.9,1069.36,0.525638
1086.73,2.54697,27367.9,1069.45,0.539968
1086.04,2.5442,27374.1,1069.59,0.54854
1088.08,2.545,27478.9,1071.14,0.547724
1086.89,2.54392,27351.8,1068.89,0.527607
1088.29,2.58462,27946.7,1070.16,0.514531
1089.11,2.59778,27835.1,1069.03,0.488353
1088.99,2.54247,27427.2,1068.48,0.50115
1086.91,2.52314,27354.4,1069.06,0.514616
1085.48,2.5156,27509.3,1068.01,0.50727
1087.93,2.5408,27828.2,1070.78,0.509552
1088.88,2.57568,28319.4,1071.43,0.502268
1087.86,2.58178,28273.3,1067.55,0.474414
1087.78,2.56351,28943.9,1066.83,0.485802
1087.28,2.55771,29721.7,1066.63,0.479752
1088.54,2.54958,29298.5,1070.71,0.512313
1087.76,2.54497,29252.1,1068.77,0.529835
1086.43,2.54218,29260.8,1066.76,0.534515
1087.87,2.54462,29175.9,1068.12,0.532581
1088.15,2.54437,29149,1068.79,0.514805
1088.32,2.55292,29121.6,1068.46,0.520701
1086.96,2.55022,29005.2,1067.67,0.530778
1088.16,2.54907,29136.1,1068.27,0.550535
1088.52,2.54873,28199.5,1069.59,0.540138
1087.52,2.54573,28136.7,1070,0.544423
1087.32,2.5457,27553.6,1069.79,0.550309
1087.41,2.54492,27773.3,1069.91,0.529807
1087.13,2.52607,27667.8,1069.54,0.519538
1086.66,2.51725,27468.9,1069.55,0.51225
1087.08,2.56918,27779.2,1069.96,0.518838
1088.13,2.59238,28083.9,1068.61,0.487704
1087.02,2.53944,27631.9,1067.03,0.488882
1086.47,2.51558,27478,1068.98,0.509334
1086.12,2.51191,27393.2,1068.97,0.510494
1087.75,2.53271,27497.3,1070.77,0.497847
1088.92,2.56833,27975.5,1071.2,0.515741
1087.5,2.57756,28389.7,1067.43,0.509638
1088.79,2.57152,29215.8,1067.66,0.501456
1086.93,2.54746,29301,1066.62,0.472352
1087.17,2.54975,29010.6,1068.05,0.471345
1087.49,2.54222,29378.9,1068.13,0.507405
1086.49,2.54115,29747,1067.41,0.500933
1087.17,2.54225,29312.3,1067.84,0.526137
1087.72,2.54358,29311,1068.01,0.518458
1087.69,2.55298,28701.4,1068.68,0.520359
1086.92,2.55602,28551.6,1067.91,0.510249
1088.48,2.55935,29179.5,1068.95,0.515158
1088.58,2.556,27938,1069.23,0.53821
1087.74,2.5538,27878.5,1068.19,0.51579
1088.99,2.55378,27822.9,1069.43,0.509487
1087.16,2.5487,27839,1067.87,0.538932
1088.22,2.52435,27801.5,1070.26,0.541658
1088.11,2.53815,28195.2,1069.85,0.519591
1089.9,2.5817,28292.5,1070.81,0.533714
1090.31,2.60168,28547.6,1070.35,0.491246
1088.09,2.54562,27953.2,1066.79,0.472185
1087.65,2.53218,28466.8,1068.28,0.509242
1087.32,2.54557,28051.8,1068.17,0.515005
1089.78,2.54785,27743.7,1069.31,0.525416
1090.89,2.58817,28754.6,1070.21,0.502352
1088.46,2.59397,28630.3,1066.4,0.49415
1089.31,2.5499,28970.3,1067.65,0.483478
1089.92,2.5925,29055.2,1068.55,0.485106
1089.98,2.57635,29071.2,1067.96,0.483079
1089.78,2.56192,27267.6,1067.53,0.489632
1087.7,2.54567,29032.8,1068.59,0.532616
1087.49,2.54765,29356.6,1070.15,0.496282
1088.48,2.55329,29544.6,1070.13,0.497429
1087.47,2.56592,29289.1,1068.68,0.50818
1088.46,2.56468,29407.7,1069.37,0.513098
1088.6,2.56144,28528.2,1069.13,0.491961
1088.5,2.54872,28380.5,1069.73,0.490158
1088.22,2.53241,28684.2,1068.53,0.528673
1088.73,2.54912,28376.2,1069.11,0.525209
1089.88,2.55269,28078.6,1069.94,0.524083
1088.8,2.55175,28532.5,1068.61,0.526408
1090.16,2.57793,28449.8,1070.25,0.536908
1089.45,2.59851,28743.5,1068.06,0.500245
1090.09,2.56699,28238.5,1067.64,0.488295
1089.13,2.54715,27742,1069.35,0.491886
1088.28,2.5325,27762.8,1068.47,0.529026
1089.81,2.53122,28864.3,1070.05,0.537739
1089.99,2.56131,28376.7,1070.32,0.525571
1088.66,2.58234,28396.5,1068.82,0.505051
1089.23,2.57693,28986.2,1067.05,0.460621
1088.69,2.54644,28472.9,1067.32,0.48722
1088.79,2.54763,30000,1068.85,0.462465
1088.41,2.54674,28375.7,1068.89,0.493193
1087.76,2.54316,28140.1,1068.17,0.486224
1089.15,2.54728,27595.7,1069.7,0.495357
1088.27,2.55988,29292.7,1069.79,0.504527
1088.06,2.55238,29240.9,1068.29,0.513027
1088.82,2.55224,29262.8,1069.62,0.513591
1089.2,2.55235,28515.5,1069.57,0.48463
1089.09,2.55117,29027.5,1069.62,0.519103
1089.06,2.5452,28354.5,1069.59,0.521671
1089.77,2.52956,28080.2,1069.79,0.539743
1089.93,2.54223,28693.1,1069.9,0.527323
1089.99,2.57704,28730,1069.47,0.528583
1090.33,2.59737,27272.4,1069.81,0.498894
1089.71,2.58075,28520.6,1067.48,0.475313
1088.96,2.55056,28662.9,1067.33,0.497426
1089.08,2.53762,28911.2,1069.92,0.504637
1089.17,2.52882,29392.6,1069.65,0.555865
1090.25,2.5816,28584.6,1070.49,0.530973
1089.57,2.55801,27435.5,1069.77,0.503068
1089.9,2.56576,28939.9,1069.69,0.486547
1087.28,2.56336,29136.2,1068.75,0.497249
1086.57,2.54422,29154,1068.31,0.492272
1088.13,2.56173,29483.6,1069.8,0.508183
1088.01,2.56351,29483.9,1069.46,0.499668
1088.71,2.55205,29366.9,1070.08,0.493592
1088.31,2.54726,28266.4,1069.81,0.528294
1088.16,2.54421,28287.7,1070.27,0.553145
1089.34,2.56849,28066.7,1069.62,0.508719
1089.33,2.55709,28300.4,1069.79,0.521517
1089.29,2.53773,28321.8,1070.04,0.53943
1088.26,2.5446,27928.9,1069.81,0.528309
1089.6,2.57641,28260.1,1069.96,0.531796
1090.48,2.59549,28936.7,1070.37,0.501835
1089.91,2.57139,28143.7,1067.72,0.478407
1089.19,2.54304,27347.5,1069.93,0.497444
1088.51,2.52869,28901.3,1068.03,0.524474
1089.9,2.53129,28407.7,1070.87,0.547916
1092.19,2.58313,28137.1,1072.56,0.529563
1088.93,2.58484,29792.8,1067.41,0.49128
1090.05,2.5598,29514.4,1068.14,0.506182
1087.72,2.56446,28853,1069.22,0.526001
1088.49,2.57524,28722.6,1069.91,0.49105
1088.01,2.5799,28355.1,1069.11,0.500544
1088.5,2.57328,28990.2,1069.78,0.50075
1089.57,2.56791,28675.6,1070.91,0.494666
1088.78,2.56425,28255.3,1070.37,0.48457
1088.24,2.55766,28499.9,1070.03,0.505774
1088.32,2.55121,28358.9,1070.51,0.525463
1089.32,2.54476,28830.6,1071.25,0.542303
1088.65,2.55289,28795.2,1070.62,0.503292
1088.99,2.58544,28502.1,1070.8,0.513209
1089.99,2.5967,28105.5,1070.77,0.498655
1088.77,2.55672,27954.9,1069.48,0.489115
1087.78,2.53874,28383.3,1069.87,0.50875
1087.35,2.5442,29465.9,1069.78,0.54321
1088.15,2.53661,28274.9,1071.03,0.518763
1089.6,2.57875,27595.1,1072.1,0.518079
1088.8,2.57012,28194.4,1069.79,0.500184
1088.06,2.53132,27110,1069.22,0.525881
1088.47,2.5275,30000,1069.59,0.527436
1087.81,2.52654,28706,1068.9,0.501508
1087.35,2.56656,28772.9,1069.37,0.510735
1088.05,2.58395,29519.3,1070.22,0.528205
1088.54,2.58196,29389.6,1070.87,0.49423
1087.7,2.5697,29429.1,1068.8,0.47863
1088.31,2.56005,29233.9,1069.48,0.485395
1087.79,2.55775,28857.2,1068.78,0.473894
1089.52,2.55738,29112.1,1069.68,0.474114
1087.81,2.55293,28793.6,1068.37,0.495376
1088.24,2.52723,29005.7,1069.5,0.515826
1088.58,2.53917,29251.5,1071.04,0.5019
1087.75,2.57825,28840.2,1070.38,0.482781
1088.54,2.58547,28955.7,1069.6,0.506533
1088.57,2.56125,28662.9,1068.15,0.489543
1087.32,2.53394,28749.4,1069.02,0.51379
1087.52,2.529,28513.9,1068.39,0.524503
1088.2,2.53417,29026.3,1070.79,0.49915
1088.74,2.57592,28997.9,1069.17,0.493996
1087.97,2.58807,29054.1,1069.76,0.495573
1087.04,2.52791,29566.5,1069.45,0.492031
1088.61,2.58266,29688.5,1070.19,0.533523
1088.52,2.56099,29563.4,1070.04,0.510628
1087.54,2.53792,29429.5,1069.37,0.530354
1086.71,2.53532,29613.1,1068.55,0.54544
1087.32,2.53505,27321.3,1069.28,0.55481
1086.7,2.53416,27194.6,1069.22,0.515844
1087.91,2.54103,27694.4,1070.18,0.524021
1086.85,2.53735,28018.5,1068.18,0.519223
1087.36,2.53868,28217.4,1068.74,0.527466
1087.38,2.54142,27864.2,1068.99,0.515864
1088.2,2.54288,28156.6,1069.57,0.550795
1088.21,2.54465,28540.9,1069.4,0.531216
1087.11,2.54466,28273.3,1068.59,0.541132
1088.84,2.54186,28397,1070.23,0.535213
1088.66,2.53621,28480.6,1070.22,0.516881
1089.82,2.57902,28762.7,1069.44,0.532903
1090.16,2.59265,28775,1070.71,0.505047
1089.07,2.56547,28345.6,1068.21,0.475138
1087.54,2.54313,28322.4,1068.11,0.485844
1087.55,2.53639,28272.4,1068.35,0.519745
1087.94,2.53052,28204.4,1069.34,0.520881
1090.2,2.57813,28589.7,1071.11,0.484718
1088.69,2.58898,28808.7,1068.86,0.483366
1088.04,2.56747,28844.1,1067.01,0.472239
1087.54,2.54953,28762.1,1066.97,0.461185
1088.45,2.54541,28717.8,1069.91,0.47319
1087.97,2.53729,28986.8,1069.4,0.501058
1086.51,2.53081,28399.5,1068.38,0.517429
1086.84,2.53742,28684.1,1068.7,0.486407
1087.84,2.54264,28489.6,1070.17,0.500794
1088.74,2.54771,28382.4,1069.69,0.507645
1087.8,2.55714,28302.6,1069.21,0.491129
1088.74,2.55363,28445.6,1069.66,0.471286
1088.1,2.54032,28079.2,1069.15,0.493622
1088.29,2.5343,28074.8,1070,0.512153
1088.14,2.5299,27814.9,1069.41,0.515734
1088.44,2.53057,27867.3,1069.4,0.485702
1088.97,2.55,28190.6,1070.44,0.471916
1088.19,2.53361,28353.9,1069.89,0.498244
1088.58,2.58231,28417.7,1069.37,0.506922
1089.36,2.59033,28343.4,1070.7,0.500205
1088.54,2.56199,28283.3,1070.56,0.476984
1088.59,2.55304,27995.2,1070.12,0.487285
1088.37,2.54759,28124.4,1068.75,0.503777
1088.78,2.5236,28319.8,1069.74,0.523695
1089.91,2.5789,28385.6,1070,0.496977
1089.29,2.57601,28125.4,1070,0.482011
1089.73,2.577,28972.4,1071.28,0.457825
1087.48,2.56711,29241.3,1068.75,0.464604
1088.74,2.55752,28778.9,1070.04,0.457138
1089.67,2.55611,29136.7,1070.17,0.492496
1088.31,2.55342,29177,1069.1,0.504865
1088.27,2.5555,29689.3,1070.59,0.495273
1086.46,2.55455,29664.7,1070.06,0.505612
1087.74,2.56361,29458.5,1071.06,0.516117
1086.88,2.56745,29372.1,1070.16,0.503055
1087.41,2.56344,29488.3,1069.7,0.500663
1088.1,2.56397,28809.4,1071.21,0.481732
1088.27,2.56966,28714.5,1072.23,0.487599
1088.46,2.57174,28476.8,1072.8,0.503723
