cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_dey
1087.89,2.58045,27426.7,1070.89,0.504831
1087.85,2.58905,27529,1069.74,0.498473
1088.09,2.56591,27383.6,1068.56,0.49774
1086.44,2.54158,27115.1,1067.93,0.500382
1085.43,2.5375,27129.1,1068.36,0.511994
1086.52,2.5377,27139.8,1070.24,0.516518
1087,2.58368,27432.2,1069.35,0.502586
1086.8,2.5714,27508.5,1067.11,0.471443
1086.8,2.55504,27741.5,1067.36,0.473723
1085.79,2.54524,27966.9,1067.75,0.479343
1086.46,2.54429,27745.3,1069.72,0.54377
1085.94,2.55655,27859.6,1068.4,0.518379
1085.65,2.5571,28297.7,1067.2,0.521009
1086.35,2.56582,28159.6,1066.94,0.481497
1086.31,2.54353,27512.3,1067.8,0.490587
1086.8,2.55169,27452.8,1070.25,0.529533
1087.26,2.59132,27979.7,1069.92,0.489823
1087.48,2.58631,27888.2,1070.05,0.5075
1087.4,2.58225,27487.1,1070.44,0.532339
1088.33,2.58391,27550.3,1070.64,0.516578
1087.93,2.58106,27530.6,1070.66,0.505958
1087.77,2.57683,27409.2,1070.51,0.49979
1085.96,2.52985,27133.7,1069.62,0.527958
1086.64,2.53185,27088.6,1070.48,0.50925
1087.73,2.58132,27440.4,1069.88,0.497613
1087.63,2.59624,27561.7,1069.09,0.488378
1087.45,2.59506,27524.6,1067.76,0.469684
1086.75,2.56026,27358,1068.6,0.492879
1086.07,2.54522,27263.2,1069.94,0.506043
1087.13,2.54545,27307.1,1071,0.505974
1087.75,2.58427,27754.7,1069.96,0.512683
1085.81,2.56682,27382.1,1066.35,0.464867
1085.89,2.543,27722.2,1066.61,0.462573
1086.71,2.5418,27370.7,1068.17,0.544069
1087.73,2.55067,27804.1,1069.38,0.519717
1086.67,2.55392,27752.1,1068.6,0.530059
1085.98,2.55536,27011.6,1067.96,0.518648
1086.29,2.55628,27439,1067.47,0.506722
1086.83,2.557,28086.3,1068.47,0.496824
1086.89,2.55126,28043.6,1069.08,0.539797
1086.41,2.55426,27775.1,1068.15,0.501346
1087.21,2.55465,27743.9,1070.33,0.507498
1084.17,2.54318,27285.9,1068.06,0.548374
1083.17,2.51727,27010.1,1067.17,0.488514
1086.81,2.53051,27157.3,1070.25,0.469438
1087.03,2.55279,27237.9,1070.04,0.492997
1086.43,2.55608,27345.8,1070.24,0.509773
1086.14,2.53068,27111,1070.22,0.52104
1087.1,2.57871,27609.9,1070.84,0.514173
1088.02,2.5912,27612.2,1070.26,0.47354
1087.82,2.57993,27590,1068.3,0.46931
1087.14,2.55255,27396.5,1068.94,0.493552
1087.31,2.5453,27242,1070.57,0.521396
1087.96,2.53755,27191.3,1070.2,0.48001
1088.2,2.57124,27560.2,1070.83,0.488031
1088.15,2.58617,27786.7,1068.46,0.487432
1087.47,2.57266,28266.5,1066.68,0.461219
1086.74,2.56139,28124.3,1066.25,0.462477
1087.63,2.56435,28971,1067.45,0.474921
1086.61,2.56355,28233.7,1066.74,0.4701
1086.13,2.56315,28494.1,1066.47,0.49075
1086.67,2.56449,28631.3,1066.65,0.473309
1086.73,2.55435,28147.8,1067.91,0.484619
1087.05,2.5302,28323.6,1069.46,0.49388
1087.39,2.56748,28123.2,1069.52,0.464659
1086.52,2.56703,27801.5,1069.63,0.483914
1087.08,2.56589,27363.2,1070.7,0.524298
1086.9,2.55637,27270.7,1069.7,0.536244
1087.09,2.53833,27143.4,1068.34,0.4926
1088.37,2.54888,27322.7,1069.47,0.470917
1088.6,2.55043,27933.7,1068.79,0.473268
1088.79,2.55144,27297.3,1068.74,0.486236
1088.79,2.56967,27498.1,1069.23,0.489419
1088.93,2.57896,27554.8,1068.89,0.496718
1089.1,2.57709,27570.3,1070.26,0.518209
1088.38,2.5648,27656.1,1068.47,0.523297
1088.54,2.56191,27536.5,1068.75,0.505304
1089.5,2.5606,27734.2,1070.46,0.518085
1089.77,2.58043,27772.4,1070.74,0.509801
1088.65,2.5805,27639.1,1068.55,0.494699
1088.45,2.57527,28025.9,1068.1,0.502557
1087.18,2.54545,28315.1,1065.45,0.509723
1087.99,2.55586,28276.1,1066.79,0.509019
1087.88,2.55729,27243.3,1066.76,0.513389
1087.1,2.55694,27856,1065.63,0.504421
1087.31,2.55059,27528.2,1065.34,0.477853
1087.55,2.54223,27529.2,1066.52,0.456566
1087.34,2.53893,27605.7,1066.08,0.484198
1087.15,2.54619,27313.4,1068.42,0.479551
1087.21,2.54634,27430.1,1069.73,0.48837
1088.29,2.54517,27568.2,1070.3,0.504834
1088.44,2.53184,27450.8,1069.98,0.508396
1088.04,2.52766,27362.6,1069.27,0.504201
1088.03,2.55066,27448.5,1070.35,0.527887
1088.19,2.55414,27439.7,1069.75,0.520996
1087.36,2.52659,27343.2,1069.61,0.51525
1088.24,2.57012,27589.9,1070.19,0.50852
1088.44,2.5791,28296.1,1068.4,0.482616
1087.99,2.55061,29027,1067.14,0.444328
1087.37,2.52504,27188.5,1068.46,0.507726
1086.41,2.52259,27099.3,1068.06,0.516006
1088.19,2.52647,27139.3,1069.97,0.476959
1089.82,2.57831,27027.5,1068.94,0.5034
1086.72,2.58428,27531,1065.53,0.478776
1087.38,2.55724,27171.5,1066.33,0.448082
1087.27,2.51987,27792.8,1067.63,0.490602
1086.71,2.51691,27770.6,1067.17,0.530244
1086.8,2.52981,27684.6,1066.71,0.538173
1087.49,2.53731,27887.2,1066.78,0.512144
1087.52,2.54241,28905.1,1066.62,0.522226
1087.37,2.54318,28881.5,1065.65,0.473569
1088.1,2.53243,28209.3,1065.36,0.465505
1087.15,2.52728,27910.1,1064.31,0.451987
1086.77,2.52158,28212.7,1065.56,0.462846
1087.26,2.51945,27181.2,1067.4,0.459847
1085.65,2.51287,27049.1,1067.7,0.491881
1087.71,2.53658,27040.1,1068.75,0.524114
1087.59,2.53509,27052.7,1070.31,0.535896
1087.83,2.53309,27006.2,1069.47,0.515863
1087.95,2.57256,27251.7,1070.05,0.508314
1089.05,2.58486,27366.4,1069.35,0.457706
1088.11,2.55765,27387.6,1067.53,0.466643
1086.94,2.53499,27145.9,1066.25,0.463059
1085.85,2.52235,27187.9,1068.19,0.526691
1087.64,2.52387,27148.2,1070.44,0.542646
1088.29,2.57667,27473.7,1069.87,0.479285
1087.8,2.58526,27478.1,1067.11,0.454852
1088.72,2.55658,27364.1,1067.25,0.463656
1087.13,2.51533,27404.1,1067.27,0.50284
1086.72,2.53283,27586.6,1067.23,0.525105
1085.89,2.54496,27669.9,1067.14,0.532813
1087.69,2.55089,28426.6,1067.14,0.498681
1087.92,2.5517,28586.7,1067.31,0.489537
1088.31,2.56296,28967.7,1067.2,0.498435
1087.62,2.53895,28695.7,1066.78,0.494085
1086.55,2.53481,28327.5,1066.72,0.53879
1088.31,2.54508,27361.1,1066.46,0.532938
1088.12,2.55483,27228.9,1066.67,0.509617
1088.06,2.55486,27183.4,1070.36,0.494417
1087.39,2.52537,27083,1071.21,0.513525
1088.64,2.57234,27486.4,1069.62,0.496905
1089.39,2.58418,27645,1068.3,0.483125
1088.19,2.55642,27537.5,1066.76,0.477269
1088.44,2.53192,27405.1,1067.23,0.466885
1087.03,2.5236,27226,1066.23,0.53948
1089.5,2.53643,27372.2,1068.31,0.508412
1088.92,2.57601,27299.5,1067.02,0.499982
1089.15,2.58615,27690.9,1067.25,0.484637
1089.53,2.56727,28284.5,1067.19,0.487042
1088.72,2.55135,27840,1068.41,0.491131
1088.15,2.54281,29151.5,1069.77,0.518419
1086.89,2.54705,29869.2,1068.93,0.498088
1086.95,2.55096,28797,1067.54,0.496807
1088.25,2.55177,28952.2,1067.93,0.523439
1087.93,2.55316,28977.9,1067.95,0.532693
1089.21,2.56674,28708.5,1069.3,0.489243
1088.9,2.57101,28683.6,1068.91,0.498579
1088.94,2.57025,28496.8,1068.25,0.505399
1089.9,2.57224,27775.4,1068.65,0.512189
1089.43,2.57231,27446.9,1067.8,0.481353
1089.6,2.564,27380.1,1067.35,0.485422
1088.75,2.53948,27384.9,1067.5,0.516131
1089.93,2.53731,27049.5,1067.71,0.535994
1089.79,2.54179,27488,1069.25,0.513793
1091.59,2.57598,27250,1070.01,0.495586
1091.06,2.59096,27363.2,1068.65,0.496769
1089.75,2.54512,29824.5,1069.67,0.500583
1088.75,2.52906,28444.9,1069.1,0.534036
1091.32,2.52404,27942,1068.7,0.511498
1088.9,2.54861,28488,1066.96,0.476115
1089.57,2.54148,30000,1069.1,0.501435
1090.17,2.53493,28932.1,1070.82,0.506865
1088.93,2.55087,28910,1070.85,0.541784
1087.96,2.54957,28966.3,1070.23,0.502767
1088.09,2.54214,27892.5,1070.46,0.544248
1089.05,2.55199,28513.4,1071.17,0.518287
1088.27,2.55344,28921.5,1070.36,0.508755
1089.02,2.55444,27839,1067.83,0.484401
1088.74,2.55314,27825,1067.49,0.501077
1088.07,2.52215,27729.2,1067.87,0.497571
1089.3,2.52819,27742.2,1069.59,0.490186
1089.31,2.57159,28169.5,1069.92,0.515404
1089.72,2.57838,28007.3,1068.37,0.518304
1091.22,2.56591,27701.9,1068.71,0.487002
1089.2,2.53055,27107.7,1068.4,0.507376
1088.3,2.51988,27335,1068.6,0.524829
1089.57,2.53159,27150.6,1069.81,0.501872
1089.89,2.57247,27993.7,1068.83,0.498667
1089.37,2.58088,28050.4,1067.63,0.522427
1089.62,2.56348,28772.4,1067.18,0.49318
1087.92,2.53747,28071.3,1066.42,0.465894
1089.27,2.53951,28725.6,1068,0.491077
1088.66,2.53569,28348.6,1067.62,0.480216
1088.19,2.5333,28739.6,1067.92,0.504134
1087.94,2.52863,28509.1,1068.34,0.517677
1089.23,2.53449,28089.3,1069.33,0.520612
1089.85,2.53541,28556.3,1069.95,0.540145
1088.26,2.52886,28133.1,1068.48,0.541978
1089.86,2.53856,28507,1070.58,0.513394
1089.87,2.54044,27457.3,1070.33,0.515805
1089.7,2.54022,27058.8,1070.01,0.530179
1088.87,2.54083,27053.9,1069.42,0.514721
1089.4,2.54259,27712.1,1069.74,0.505624
1089.82,2.52566,28023.9,1070.36,0.504557
1088.9,2.51937,27296.6,1069.76,0.517099
1090.58,2.56517,28278.1,1070.86,0.51822
1090.85,2.58541,28359.9,1070.13,0.482483
1088.9,2.54668,28648.3,1067.27,0.468113
1088.49,2.52324,27166.1,1068.61,0.463444
1087.67,2.51697,27596.6,1068.61,0.512785
1088.43,2.51421,27153.8,1069.87,0.521526
1089.82,2.57308,27751,1070.08,0.517331
1089.56,2.58881,27996.6,1068.39,0.465326
1088.77,2.55566,28200.3,1067.09,0.477619
1088.28,2.53042,28041,1069.02,0.479799
1088.73,2.52773,28066.9,1070.05,0.505554
1088.58,2.52692,28061.4,1069.87,0.518326
1087.95,2.53325,28505.9,1068.75,0.525416
1087.98,2.54819,28274,1069.79,0.528429
1087.63,2.53678,28549.7,1069.42,0.509721
1088.41,2.53983,27934.7,1070.31,0.533042
1087.37,2.54741,27987.2,1068.54,0.501611
1088.11,2.55009,28084.8,1069.37,0.523827
1088.47,2.55139,27455.9,1070.89,0.509138
1088.45,2.55324,27435.8,1071.33,0.479758
1088.23,2.54155,27185.7,1070.51,0.497876
1087.81,2.53076,27038.8,1070.62,0.552891
1087.41,2.54062,27134.4,1070.98,0.560818
1087.7,2.54153,27142,1070.43,0.506137
1089.29,2.57383,27494.4,1071.23,0.485161
1090.44,2.59162,27594.1,1069.36,0.474607
1088.22,2.5518,27415.4,1067.07,0.465407
1087.4,2.54286,27518.8,1068.48,0.475737
1088.3,2.5397,27455.3,1068.94,0.489582
1088.6,2.53679,27816.6,1069.15,0.5119
1090.03,2.58208,27810,1070.28,0.511734
1088.48,2.59107,28165.7,1066.62,0.491197
1087.02,2.55755,28829.3,1065.93,0.460942
1087.48,2.53649,29228.7,1068.08,0.47438
1087.27,2.53261,29025.1,1068.25,0.53025
1086.7,2.53411,29324.2,1068.24,0.529829
1086.88,2.53816,29147.5,1067.34,0.537478
1086.57,2.53919,29249.1,1067.97,0.559782
1086.58,2.5445,28682.8,1067.64,0.549612
1086.46,2.55005,28602.1,1069.74,0.566822
1086.97,2.54112,28377,1070.62,0.51529
1086.38,2.53693,28639.5,1069.61,0.52418
1086.69,2.53735,27427.1,1069.95,0.520472
1087.43,2.53694,27145.2,1070.21,0.523186
1088.65,2.53943,27033.3,1069.44,0.486276
1088.63,2.54157,27006.1,1071.87,0.508912
1087.19,2.53836,27010.1,1068.48,0.508468
1088.03,2.53627,27108.8,1069.97,0.551562
1088.65,2.58216,27429.4,1069.6,0.531759
1088.04,2.59068,27403.1,1068.8,0.479638
1087.96,2.54546,27100,1067.86,0.470728
1087.94,2.5311,28005.4,1068.23,0.522907
1087.85,2.52681,28192.8,1068.2,0.556369
1086.63,2.5257,28239.8,1067.87,0.554577
1086.97,2.55338,28140.6,1068.38,0.564606
1087.61,2.56248,29137.1,1069.16,0.532783
1086.33,2.56434,28877.4,1068.76,0.517456
1087.58,2.55615,27778.8,1069.35,0.514923
1087.6,2.54015,27293.2,1070.33,0.518121
1087.95,2.56342,27201.3,1070.93,0.514657
1087.69,2.57051,27365.3,1070.1,0.511549
1087.83,2.56279,27225.9,1068.88,0.460967
1086.33,2.52718,27011.1,1069.06,0.513421
1087.52,2.53751,27155.5,1069.66,0.540814
1087.7,2.5742,27432.4,1069.93,0.539211
1088.6,2.59008,27634.1,1071.08,0.517013
1089.37,2.57503,27735.4,1069.41,0.465992
1087.44,2.54376,27344.2,1068.51,0.479414
1087.43,2.53665,27372.3,1067.71,0.525384
1089.34,2.52867,27603.9,1068.7,0.539157
1089.42,2.57686,27722.2,1068.46,0.545207
1088.88,2.57935,28042,1067.91,0.497042
1087.96,2.54848,28499,1067.33,0.485501
1088.67,2.54835,29249.5,1068.61,0.484403
1088.21,2.54691,28610.8,1068.74,0.524583
1086.79,2.54701,28496.6,1067.94,0.50275
1087.9,2.54715,29345.9,1069.02,0.534909
1087.95,2.54558,29110.4,1068.48,0.552031
1088.09,2.54582,28485.6,1068.74,0.528124
1087.32,2.55236,28718.1,1068.22,0.521204
1087.56,2.5552,28395.7,1068.72,0.525443
1087.84,2.55307,27715,1068.47,0.528145
1088.27,2.54934,27544.9,1069.36,0.518482
1086.73,2.54697,27367.9,1069.45,0.540626
1086.04,2.5442,27374.1,1069.59,0.556783
1088.08,2.545,27478.9,1071.14,0.548477
1086.89,2.54392,27351.8,1068.89,0.548846
1088.29,2.58462,27946.7,1070.16,0.511564
1089.11,2.59778,27835.1,1069.03,0.467748
1088.99,2.54247,27427.2,1068.48,0.483354
1086.91,2.52314,27354.4,1069.06,0.491657
1085.48,2.5156,27509.3,1068.01,0.496911
1087.93,2.5408,27828.2,1070.78,0.489786
1088.88,2.57568,28319.4,1071.43,0.515635
1087.86,2.58178,28273.3,1067.55,0.468402
1087.78,2.56351,28943.9,1066.83,0.480582
1087.28,2.55771,29721.7,1066.63,0.473964
1088.54,2.54958,29298.5,1070.71,0.497462
1087.76,2.54497,29252.1,1068.77,0.532702
1086.43,2.54218,29260.8,1066.76,0.527198
1087.87,2.54462,29175.9,1068.12,0.522246
1088.15,2.54437,29149,1068.79,0.519039
1088.32,2.55292,29121.6,1068.46,0.51161
1086.96,2.55022,29005.2,1067.67,0.53151
1088.16,2.54907,29136.1,1068.27,0.555806
1088.52,2.54873,28199.5,1069.59,0.551427
1087.52,2.54573,28136.7,1070,0.553661
1087.32,2.5457,27553.6,1069.79,0.562818
1087.41,2.54492,27773.3,1069.91,0.525988
1087.13,2.52607,27667.8,1069.54,0.544616
1086.66,2.51725,27468.9,1069.55,0.515501
1087.08,2.56918,27779.2,1069.96,0.500689
1088.13,2.59238,28083.9,1068.61,0.47652
1087.02,2.53944,27631.9,1067.03,0.480332
1086.47,2.51558,27478,1068.98,0.504565
1086.12,2.51191,27393.2,1068.97,0.501616
1087.75,2.53271,27497.3,1070.77,0.486349
1088.92,2.56833,27975.5,1071.2,0.509221
1087.5,2.57756,28389.7,1067.43,0.513087
1088.79,2.57152,29215.8,1067.66,0.496066
1086.93,2.54746,29301,1066.62,0.456685
1087.17,2.54975,29010.6,1068.05,0.495032
1087.49,2.54222,29378.9,1068.13,0.504958
1086.49,2.54115,29747,1067.41,0.513981
1087.17,2.54225,29312.3,1067.84,0.543366
1087.72,2.54358,29311,1068.01,0.535739
1087.69,2.55298,28701.4,1068.68,0.513094
1086.92,2.55602,28551.6,1067.91,0.499961
1088.48,2.55935,29179.5,1068.95,0.518101
1088.58,2.556,27938,1069.23,0.507415
1087.74,2.5538,27878.5,1068.19,0.512603
1088.99,2.55378,27822.9,1069.43,0.529898
1087.16,2.5487,27839,1067.87,0.541307
1088.22,2.52435,27801.5,1070.26,0.556939
1088.11,2.53815,28195.2,1069.85,0.527063
1089.9,2.5817,28292.5,1070.81,0.533204
1090.31,2.60168,28547.6,1070.35,0.49038
1088.09,2.54562,27953.2,1066.79,0.472543
1087.65,2.53218,28466.8,1068.28,0.512612
1087.32,2.54557,28051.8,1068.17,0.528029
1089.78,2.54785,27743.7,1069.31,0.529818
1090.89,2.58817,28754.6,1070.21,0.495313
1088.46,2.59397,28630.3,1066.4,0.477773
1089.31,2.5499,28970.3,1067.65,0.493384
1089.92,2.5925,29055.2,1068.55,0.485772
1089.98,2.57635,29071.2,1067.96,0.481308
1089.78,2.56192,27267.6,1067.53,0.473924
1087.7,2.54567,29032.8,1068.59,0.509821
1087.49,2.54765,29356.6,1070.15,0.52109
1088.48,2.55329,29544.6,1070.13,0.521764
1087.47,2.56592,29289.1,1068.68,0.49287
1088.46,2.56468,29407.7,1069.37,0.512856
1088.6,2.56144,28528.2,1069.13,0.491484
1088.5,2.54872,28380.5,1069.73,0.49984
1088.22,2.53241,28684.2,1068.53,0.532288
1088.73,2.54912,28376.2,1069.11,0.531719
1089.88,2.55269,28078.6,1069.94,0.546711
1088.8,2.55175,28532.5,1068.61,0.53566
1090.16,2.57793,28449.8,1070.25,0.522963
1089.45,2.59851,28743.5,1068.06,0.470966
1090.09,2.56699,28238.5,1067.64,0.467606
1089.13,2.54715,27742,1069.35,0.470118
1088.28,2.5325,27762.8,1068.47,0.516815
1089.81,2.53122,28864.3,1070.05,0.537595
1089.99,2.56131,28376.7,1070.32,0.542689
1088.66,2.58234,28396.5,1068.82,0.502109
1089.23,2.57693,28986.2,1067.05,0.470591
1088.69,2.54644,28472.9,1067.32,0.490969
1088.79,2.54763,30000,1068.85,0.45617
1088.41,2.54674,28375.7,1068.89,0.480769
1087.76,2.54316,28140.1,1068.17,0.482849
1089.15,2.54728,27595.7,1069.7,0.491333
1088.27,2.55988,29292.7,1069.79,0.487401
1088.06,2.55238,29240.9,1068.29,0.534488
1088.82,2.55224,29262.8,1069.62,0.508369
1089.2,2.55235,28515.5,1069.57,0.499073
1089.09,2.55117,29027.5,1069.62,0.516947
1089.06,2.5452,28354.5,1069.59,0.518717
1089.77,2.52956,28080.2,1069.79,0.526575
1089.93,2.54223,28693.1,1069.9,0.516396
1089.99,2.57704,28730,1069.47,0.537663
1090.33,2.59737,27272.4,1069.81,0.505518
1089.71,2.58075,28520.6,1067.48,0.475193
1088.96,2.55056,28662.9,1067.33,0.483015
1089.08,2.53762,28911.2,1069.92,0.495169
1089.17,2.52882,29392.6,1069.65,0.526968
1090.25,2.5816,28584.6,1070.49,0.516774
1089.57,2.55801,27435.5,1069.77,0.495457
1089.9,2.56576,28939.9,1069.69,0.492706
1087.28,2.56336,29136.2,1068.75,0.509823
1086.57,2.54422,29154,1068.31,0.482583
1088.13,2.56173,29483.6,1069.8,0.508863
1088.01,2.56351,29483.9,1069.46,0.48516
1088.71,2.55205,29366.9,1070.08,0.5227
1088.31,2.54726,28266.4,1069.81,0.537845
1088.16,2.54421,28287.7,1070.27,0.577383
1089.34,2.56849,28066.7,1069.62,0.537015
1089.33,2.55709,28300.4,1069.79,0.539802
1089.29,2.53773,28321.8,1070.04,0.529795
1088.26,2.5446,27928.9,1069.81,0.525939
1089.6,2.57641,28260.1,1069.96,0.51206
1090.48,2.59549,28936.7,1070.37,0.492207
1089.91,2.57139,28143.7,1067.72,0.481133
1089.19,2.54304,27347.5,1069.93,0.480923
1088.51,2.52869,28901.3,1068.03,0.521058
1089.9,2.53129,28407.7,1070.87,0.520071
1092.19,2.58313,28137.1,1072.56,0.526546
1088.93,2.58484,29792.8,1067.41,0.491201
1090.05,2.5598,29514.4,1068.14,0.499685
1087.72,2.56446,28853,1069.22,0.537883
1088.49,2.57524,28722.6,1069.91,0.489961
1088.01,2.5799,28355.1,1069.11,0.492386
1088.5,2.57328,28990.2,1069.78,0.486977
1089.57,2.56791,28675.6,1070.91,0.48814
1088.78,2.56425,28255.3,1070.37,0.491216
1088.24,2.55766,28499.9,1070.03,0.510031
1088.32,2.55121,28358.9,1070.51,0.521594
1089.32,2.54476,28830.6,1071.25,0.555095
1088.65,2.55289,28795.2,1070.62,0.506595
1088.99,2.58544,28502.1,1070.8,0.507367
1089.99,2.5967,28105.5,1070.77,0.488156
1088.77,2.55672,27954.9,1069.48,0.48469
1087.78,2.53874,28383.3,1069.87,0.506992
1087.35,2.5442,29465.9,1069.78,0.5729
1088.15,2.53661,28274.9,1071.03,0.539519
1089.6,2.57875,27595.1,1072.1,0.498306
1088.8,2.57012,28194.4,1069.79,0.478386
1088.06,2.53132,27110,1069.22,0.513078
1088.47,2.5275,30000,1069.59,0.533415
1087.81,2.52654,28706,1068.9,0.518432
1087.35,2.56656,28772.9,1069.37,0.518161
1088.05,2.58395,29519.3,1070.22,0.537777
1088.54,2.58196,29389.6,1070.87,0.497419
1087.7,2.5697,29429.1,1068.8,0.485305
1088.31,2.56005,29233.9,1069.48,0.469472
1087.79,2.55775,28857.2,1068.78,0.461882
1089.52,2.55738,29112.1,1069.68,0.48156
1087.81,2.55293,28793.6,1068.37,0.488678
1088.24,2.52723,29005.7,1069.5,0.510595
1088.58,2.53917,29251.5,1071.04,0.50139
1087.75,2.57825,28840.2,1070.38,0.508337
1088.54,2.58547,28955.7,1069.6,0.505082
1088.57,2.56125,28662.9,1068.15,0.475029
1087.32,2.53394,28749.4,1069.02,0.488023
1087.52,2.529,28513.9,1068.39,0.523943
1088.2,2.53417,29026.3,1070.79,0.4884
1088.74,2.57592,28997.9,1069.17,0.499259
1087.97,2.58807,29054.1,1069.76,0.490575
1087.04,2.52791,29566.5,1069.45,0.4956
1088.61,2.58266,29688.5,1070.19,0.525628
1088.52,2.56099,29563.4,1070.04,0.512893
1087.54,2.53792,29429.5,1069.37,0.549568
1086.71,2.53532,29613.1,1068.55,0.542317
1087.32,2.53505,27321.3,1069.28,0.553171
1086.7,2.53416,27194.6,1069.22,0.516628
1087.91,2.54103,27694.4,1070.18,0.497834
1086.85,2.53735,28018.5,1068.18,0.502893
1087.36,2.53868,28217.4,1068.74,0.515583
1087.38,2.54142,27864.2,1068.99,0.515367
1088.2,2.54288,28156.6,1069.57,0.510362
1088.21,2.54465,28540.9,1069.4,0.517798
1087.11,2.54466,28273.3,1068.59,0.527396
1088.84,2.54186,28397,1070.23,0.510045
1088.66,2.53621,28480.6,1070.22,0.515359
1089.82,2.57902,28762.7,1069.44,0.533857
1090.16,2.59265,28775,1070.71,0.517189
1089.07,2.56547,28345.6,1068.21,0.487116
1087.54,2.54313,28322.4,1068.11,0.486598
1087.55,2.53639,28272.4,1068.35,0.53511
1087.94,2.53052,28204.4,1069.34,0.544608
1090.2,2.57813,28589.7,1071.11,0.527917
1088.69,2.58898,28808.7,1068.86,0.51232
1088.04,2.56747,28844.1,1067.01,0.478556
1087.54,2.54953,28762.1,1066.97,0.505395
1088.45,2.54541,28717.8,1069.91,0.505019
1087.97,2.53729,28986.8,1069.4,0.543644
1086.51,2.53081,28399.5,1068.38,0.505666
1086.84,2.53742,28684.1,1068.7,0.531312
1087.84,2.54264,28489.6,1070.17,0.551558
1088.74,2.54771,28382.4,1069.69,0.540647
1087.8,2.55714,28302.6,1069.21,0.508051
1088.74,2.55363,28445.6,1069.66,0.503284
1088.1,2.54032,28079.2,1069.15,0.517607
1088.29,2.5343,28074.8,1070,0.548922
1088.14,2.5299,27814.9,1069.41,0.545664
1088.44,2.53057,27867.3,1069.4,0.514501
1088.97,2.55,28190.6,1070.44,0.485267
1088.19,2.53361,28353.9,1069.89,0.532114
1088.58,2.58231,28417.7,1069.37,0.522456
1089.36,2.59033,28343.4,1070.7,0.521813
1088.54,2.56199,28283.3,1070.56,0.497869
1088.59,2.55304,27995.2,1070.12,0.503307
1088.37,2.54759,28124.4,1068.75,0.510216
1088.78,2.5236,28319.8,1069.74,0.52992
1089.91,2.5789,28385.6,1070,0.516856
1089.29,2.57601,28125.4,1070,0.507412
1089.73,2.577,28972.4,1071.28,0.507413
1087.48,2.56711,29241.3,1068.75,0.48097
1088.74,2.55752,28778.9,1070.04,0.483031
1089.67,2.55611,29136.7,1070.17,0.529553
1088.31,2.55342,29177,1069.1,0.534848
1088.27,2.5555,29689.3,1070.59,0.529027
1086.46,2.55455,29664.7,1070.06,0.54139
1087.74,2.56361,29458.5,1071.06,0.558113
1086.88,2.56745,29372.1,1070.16,0.528308
1087.41,2.56344,29488.3,1069.7,0.524079
1088.1,2.56397,28809.4,1071.21,0.503712
1088.27,2.56966,28714.5,1072.23,0.503425
1088.46,2.57174,28476.8,1072.8,0.539392
1088.32,2.57659,28379.9,1071.71,0.509342
1088.88,2.54644,28515.9,1072.3,0.51424
